MINOSthresh TimeBinElec Tshaping
25.0 30.0 333.0
HeaderFile DelayTrig StopT Vdrift 
psp150007 2055.57 9979.53 0.0378599
psp150059 2055.57 9979.53 0.0378599
psp150060 2055.57 9979.53 0.0378599
psp150061 2055.57 9979.53 0.0378599
psp151001 2055.57 9979.53 0.0378599
psp151003 2055.57 9977.43 0.0378699
psp151004 2055.57 9986.90 0.0378247
psp151005 2055.57 9958.38 0.0379612
psp151006 2055.57 9960.49 0.0379511
psp151007 2055.57 9956.65 0.0379695
psp151008 2055.57 9957.24 0.0379666
psp151009 2055.57 9942.16 0.0380392
psp151010 2055.57 9953.06 0.0379868
psp151011 2055.57 9949.83 0.0380023
psp151012 2055.57 9949.86 0.0380022
psp151014 2055.57 9942.97 0.0380353
psp151017 2055.57 9939.17 0.0380537
psp151018 2055.57 9943.04 0.038035
psp151019 2055.57 9936.66 0.0380658
psp151020 2055.57 9930.59 0.0380952
psp151021 2055.57 9937.26 0.0380629
psp151022 2055.57 9928.91 0.0381033
psp151023 2055.57 9925.35 0.0381205
psp151024 2055.57 9932.42 0.0380863
psp151025 2055.57 9928.63 0.0381046
psp151026 2055.57 9930.3 0.0380966
psp151027 2055.57 9932.76 0.0380846
psp151028 2055.57 9920.45 0.0381443
psp151029 2055.57 9919.96 0.0381466
psp151030 2055.57 9867.73 0.0384017
psp151031 2002.50 9873.70 0.0381136
psp151032 2002.50 9846.94 0.0382437
psp151033 2002.50 9834.11 0.0383063
psp151034 2002.50 9848.86 0.0382343
psp151035 2002.50 9836.43 0.038295
psp151036 2002.50 9840.32 0.0382759
psp151037 2002.50 9847.54 0.0382407
psp151038 2002.50 9870.68 0.0381283
psp151040 2002.50 9879.53 0.0380854
psp151041 2002.50 9878.31 0.0380913
psp151042 2002.50 9893.32 0.0380189
psp151046 2002.50 9889.73 0.0380362
psp151049 2002.50 9901.16 0.0379811
psp151050 2002.50 9887.14 0.0380487
psp151051 2002.50 9891.04 0.0380298
psp151052 2002.50 9885.63 0.038056
psp151053 2002.50 9891.25 0.0380288
psp151054 2002.50 9879.55 0.0380853
psp151055 2002.50 9885.26 0.0380577
psp151056 2002.50 9892.25 0.038024
psp151057 2002.50 9887.47 0.0380471
