NAME	Id	FPL	layer	theta	x_pos	y_pos	z_pos	toff	tcal	qped	qcal	adc_geo	adc_ch	tdc_geo	tdc_ch
NaI0	0	8	1	94.29	-16.95	-17.75	-1.84	111.5	0.0977	-829.513	8.8907	10	0	6	0
NaI1	1	8	1	94.34	-24.14	-4.16	-1.86	111.5	0.0977	-881.441	10.0168	10	1	6	1
NaI2	2	8	1	94.3	-22.11	10.89	-1.85	111.5	0.0977	-670.099	9.50381	10	2	6	2
NaI3	3	8	1	94.32	-11.19	21.59	-1.84	111.5	0.0977	-1125.48	11.4691	10	3	6	3
NaI4	4	8	1	94.25	3.36	24.35	-1.83	111.5	0.0977	-1871.11	20.0986	10	4	6	4
NaI5	5	8	1	94.4	17.03	17.52	-1.88	111.5	0.0977	-821.628	10.1944	10	5	6	5
NaI6	6	8	2	94.39	24.14	4.34	-1.88	111.5	0.0977	-1019.84	9.93737	10	6	6	6
NaI7	7	8	2	94.43	21.99	-10.69	-1.89	111.5	0.0977	-1103.99	10.6227	10	7	6	7
NaI8	8	8	2	94.25	11.54	-21.64	-1.82	111.5	0.0977	-957.641	9.35551	10	8	6	8
NaI9	9	8	2	94.35	-3.38	-24.32	-1.87	111.5	0.0977	-664.439	9.8784	10	9	6	9
NaI10	10	8	2	82.99	-10.9	-21.94	3.01	112.5	0.0977	-812.439	8.29332	10	10	6	10
NaI11	11	8	2	82.9	-21.65	-11.25	3.04	111.5	0.0977	-723.691	7.61899	10	11	6	11
NaI12	12	8	3	82.84	-24.17	3.49	3.07	112.5	0.0977	-799.113	8.98438	10	12	6	12
NaI13	13	8	3	82.79	-17.63	16.93	3.09	111.5	0.0977	-932.004	8.96042	10	13	6	13
NaI14	14	8	3	82.85	-4.12	24.07	3.06	111.5	0.0977	-1185.74	10.0857	10	14	6	14
NaI15	15	8	3	82.78	10.96	21.93	3.1	111.5	0.0977	-887.014	9.71739	10	15	6	15
NaI16	16	8	3	82.89	21.76	11.4	3.06	111.5	0.0977	-828.442	9.32277	10	16	6	16
NaI17	17	8	3	82.92	24.2	-3.56	3.04	111.5	0.0977	-742.198	9.28443	10	17	6	17
NaI18	18	8	3	82.82	17.41	-17.05	3.07	111.5	0.0977	-741.711	9.17776	10	18	6	18
NaI19	19	8	3	82.74	4.24	-24.07	3.11	111.5	0.0977	-979.997	9.39714	10	19	6	19
NaI20	20	8	4	71.72	-17.14	-17.15	8.01	111.5	0.0977	-769.514	8.79257	10	20	6	20
NaI21	21	8	4	71.83	-24.08	-3.85	8	111.5	0.0977	-937.643	9.0926	10	21	6	21
NaI22	22	8	4	71.92	-21.69	11.14	7.96	111.5	0.0977	-1164.53	9.81527	10	22	6	22
NaI23	23	8	4	71.8	-10.92	21.7	7.99	111.5	0.0977	-749.238	9.04838	10	23	6	23
NaI24	24	8	4	71.85	3.96	24	7.98	111.5	0.0977	-889.969	8.84179	10	24	6	24
NaI25	25	8	4	71.87	17.24	17.12	7.95	111.5	0.0977	-917.725	8.96189	10	25	6	25
NaI26	26	8	4	71.84	24.05	3.68	7.98	111.5	0.0977	-911.595	9.33649	10	26	6	26
NaI27	27	8	4	71.81	21.66	-11.11	8	111.5	0.0977	-736.204	9.20598	10	27	6	27
NaI28	28	8	4	71.74	11.01	-21.63	8.01	111.5	0.0977	-826.914	8.99806	10	28	6	28
NaI29	29	8	4	71.91	-3.84	-24.08	7.96	111.5	0.0977	-884.117	9.11245	10	29	6	29
NaI30	30	8	5	61.94	-11.48	-21.31	12.9	111.5	0.0977	-1025.93	9.39639	10	30	6	30
NaI31	31	8	5	61.88	-21.82	-10.63	12.97	111.5	0.0977	-915.857	9.09215	10	31	6	31
NaI32	32	8	5	61.95	-23.88	4.42	12.94	111.5	0.0977	-936.854	10.1302	11	0	6	32
NaI33	33	8	5	61.99	-16.95	17.46	12.94	111.5	0.0977	-805.969	8.64484	11	1	6	33
NaI34	34	8	5	62.06	-3.25	24.14	12.92	111.5	0.0977	-1051.37	8.94284	11	2	6	34
NaI35	35	8	5	61.93	11.38	21.47	12.96	111.5	0.0977	-956.118	8.90373	11	3	6	35
NaI36	36	8	5	62.03	21.82	10.69	12.9	111.5	0.0977	-823.59	8.69881	11	4	6	36
NaI37	37	8	5	61.95	23.94	-4.24	12.95	111.5	0.0977	-968.527	9.00815	11	5	6	37
NaI38	38	8	5	62.15	17.04	-17.53	12.91	111.5	0.0977	-1106.63	9.257	11	6	6	38
NaI39	39	8	5	61.88	3.31	-23.97	12.93	111.5	0.0977	-969.575	8.45044	11	7	6	39
NaI40	40	8	6	58.31	-16.18	-24.21	17.98	112.5	0.0977	-1317.42	10.1236	11	8	6	40
NaI41	41	8	6	58.09	-25.8	-13.64	18.17	110.5	0.0977	-1451	15.3137	11	9	6	41
NaI42	42	8	6	58.27	-29.25	0.8	18.09	112.5	0.0977	-869.686	9.02313	11	10	6	42
NaI43	43	8	6	58.46	-24.62	15.82	17.96	111.5	0.0977	-1084.84	10.3356	11	11	6	43
NaI44	44	8	6	58.42	-12.67	26.29	17.94	112.5	0.0977	-1134.41	9.20773	11	12	6	44
NaI45	45	8	6	58.48	2.56	29.03	17.88	112.5	0.0977	-1100.21	9.7063	11	13	6	45
NaI46	46	8	6	58.2	16.13	24.27	18.06	112.5	0.0977	-1291.11	10.2201	11	14	6	46
NaI47	47	8	6	58.26	25.86	13.76	18.11	112.5	0.0977	-913.14	9.38876	11	15	6	47
NaI48	48	8	6	58.35	29.38	-0.59	18.12	111.5	0.0977	-1066.52	7.92924	11	16	6	48
NaI49	49	8	6	58.56	24.75	-15.85	17.97	111.5	0.0977	-1085.39	9.61657	11	17	6	49
NaI50	50	8	6	58.44	12.53	-26.24	17.86	111.5	0.0977	-898.995	9.14724	11	18	6	50
NaI51	51	8	6	58.2	-2.9	-28.78	17.94	111.5	0.0977	-1100.44	9.08142	11	19	6	51
NaI52	52	8	7	54.64	-14.76	-29.03	23.11	111.5	0.0977	-1097.59	9.62764	11	20	6	52
NaI53	53	8	7	54.99	-26.51	-19.34	22.99	111.5	0.0977	-1006.04	8.77452	15	27	8	75
NaI54	54	8	7	54.62	-31.92	-4.67	22.91	111.5	0.0977	-1103.45	9.35475	11	22	6	54
NaI55	55	8	7	54.34	-30.65	9.78	23.08	111.5	0.0977	-974.893	8.478	11	23	6	55
NaI56	56	8	7	54.37	-23.67	21.88	23.11	112.5	0.0977	-886.17	8.82708	11	24	6	56
NaI57	57	8	7	54.3	-11.94	29.88	23.13	111.5	0.0977	-1136.45	9.05716	11	25	6	57
NaI58	58	8	7	54.16	1.72	31.97	23.13	112.5	0.0977	-1205.67	9.66195	11	26	6	58
NaI59	59	8	7	54.76	14.82	29.14	23.1	111.5	0.0977	-1148.97	8.85336	11	27	6	59
NaI60	60	8	7	55.05	26.41	19.44	22.92	112.5	0.0977	-1074.16	9.95239	11	28	6	60
NaI61	61	8	7	54.58	31.85	4.63	22.9	111.5	0.0977	-1163.71	9.40011	11	29	6	61
NaI62	62	8	7	54.33	30.49	-10.02	23.03	119.5	0.0977	-757.969	8.72228	15	29	8	77
NaI63	63	8	7	54.46	23.78	-21.93	23.11	112.5	0.0977	-1133.41	9.71252	11	31	6	63
NaI64	64	8	7	54.56	11.85	-30.05	22.99	111.5	0.0977	-655.365	8.68752	12	0	6	64
NaI65	65	8	7	54.3	-1.53	-32.17	23.14	112.5	0.0977	-761.523	8.46429	12	1	6	65
NaI66	66	8	8	49.44	-19.15	-26.86	28.23	112.5	0.0977	-843.993	9.48562	12	2	6	66
NaI67	67	8	8	49.71	-29.04	-16.16	28.17	112.5	0.0977	-667.058	8.85281	12	3	6	67
NaI68	68	8	8	49.74	-33.22	-1.65	28.17	111.5	0.0977	-1052.66	9.14321	12	4	6	68
NaI69	69	8	8	49.56	-30.18	13.37	28.14	112.5	0.0977	-790.432	8.66376	12	5	6	69
NaI70	70	8	8	49.48	-21.69	24.88	28.22	111.5	0.0977	-771.142	8.44612	12	6	6	70
NaI71	71	8	8	49.47	-8.78	31.8	28.2	111.5	0.0977	-831.297	9.00267	12	7	6	71
NaI72	72	8	8	49.49	6.02	32.41	28.16	119.5	0.0977	-668.859	7.69423	15	26	8	74
NaI73	73	8	8	49.56	19.12	26.98	28.19	119.5	0.0977	-728.234	8.73989	12	9	6	73
NaI74	74	8	8	49.68	29.14	15.9	28.17	112.5	0.0977	-646.309	8.56966	12	10	6	74
NaI75	75	8	8	49.76	33.16	1.52	28.1	111.5	0.0977	-822.882	8.90577	12	11	6	75
NaI76	76	8	8	49.48	30.27	-13.1	28.19	112.5	0.0977	-747.234	8.34744	12	12	6	76
NaI77	77	8	8	49.44	21.48	-24.94	28.17	111.5	0.0977	-665.397	8.58424	12	13	6	77
NaI78	78	8	8	49.58	8.69	-31.8	28.08	112.5	0.0977	-705.301	8.68372	12	14	6	78
NaI79	79	8	8	49.55	-5.95	-32.47	28.14	112.5	0.0977	-829.963	8.97689	12	15	6	79
NaI80	80	8	9	43.49	-12.35	-29.27	33.5	112.5	0.0977	-857.729	8.97011	12	16	6	80
NaI81	81	8	9	43.49	-23.86	-20.97	33.49	112.5	0.0977	-1065.31	9.64607	12	17	6	81
NaI82	82	8	9	43.68	-30.75	-8.63	33.44	112.5	0.0977	-890.057	8.76745	12	18	6	82
NaI83	83	8	9	43.62	-31.41	5.52	33.47	112.5	0.0977	-929.825	8.96419	12	19	6	83
NaI84	84	8	9	43.47	-25.65	18.77	33.53	112.5	0.0977	-976.482	8.43907	12	20	6	84
NaI85	85	8	9	43.6	-15.23	28	33.48	112.5	0.0977	-929.993	8.40891	12	21	6	85
NaI86	86	8	9	43.64	-1.55	31.86	33.45	111.5	0.0977	-839.897	9.16722	12	22	6	86
NaI87	87	8	9	43.66	12.39	29.39	33.42	111.5	0.0977	-835.929	9.12971	12	23	6	87
NaI88	88	8	9	43.67	23.95	21.11	33.44	112.5	0.0977	-1049.8	8.85615	12	24	6	88
NaI89	89	8	9	43.48	30.61	8.46	33.49	111.5	0.0977	-774.63	9.2467	12	25	6	89
NaI90	90	8	9	43.59	31.35	-5.69	33.47	112.5	0.0977	-858.77	8.4597	12	26	6	90
NaI91	91	8	9	43.61	25.83	-18.65	33.45	111.5	0.0977	-1071.99	8.25434	12	27	6	91
NaI92	92	8	9	43.5	15.11	-27.99	33.52	112.5	0.0977	-669.389	8.6256	12	28	6	92
NaI93	93	8	9	43.63	1.58	-31.86	33.46	112.5	0.0977	-859.282	8.29478	12	29	6	93
NaI94	94	8	10	37.51	-17.14	-24.49	38.95	112.5	0.0977	-1083.1	9.14558	12	30	6	94
NaI95	95	8	10	37.46	-26.04	-14.48	38.88	112.5	0.0977	-926.487	8.60436	12	31	6	95
NaI96	96	8	10	37.44	-29.77	-1.88	38.96	118.5	0.0977	-1008.84	8.19289	13	0	6	96
NaI97	97	8	10	37.42	-27.53	11.38	38.93	118.5	0.0977	-782.454	8.6199	13	1	6	97
NaI98	98	8	10	37.59	-20.2	22.11	38.9	118.5	0.0977	-744.44	8.47529	13	2	6	98
NaI99	99	8	10	37.35	-8.28	28.56	38.97	118.5	0.0977	-935.532	8.6917	13	3	6	99
NaI100	100	8	10	37.54	4.69	29.52	38.9	118.5	0.0977	-959.436	8.37148	13	4	6	100
NaI101	101	8	10	37.46	17.22	24.35	38.92	118.5	0.0977	-775.164	8.34766	13	5	6	101
NaI102	102	8	10	37.43	26.03	14.47	38.92	118.5	0.0977	-930.215	8.48488	13	6	6	102
NaI103	103	8	10	37.42	29.76	1.63	38.96	118.5	0.0977	-701.708	8.67568	13	7	6	103
NaI104	104	8	10	37.38	27.44	-11.38	38.88	118.5	0.0977	-834.493	8.44648	13	8	6	104
NaI105	105	8	10	37.44	20.04	-22.08	38.95	118.5	0.0977	-669.514	8.81582	13	9	6	105
NaI106	106	8	10	37.35	8.4	-28.53	38.96	119.5	0.0977	-833.956	8.35658	13	10	6	106
NaI107	107	8	10	37.29	-4.86	-29.23	38.91	118.5	0.0977	-558.646	8.31918	13	11	6	107
NaI108	108	8	11	32.8	-10.69	-26.57	44.44	119.5	0.0977	-1233.66	9.44753	13	12	6	108
NaI109	109	8	11	32.6	-21.09	-18.99	44.38	118.5	0.0977	-971.826	8.78651	13	13	6	109
NaI110	110	8	11	32.82	-27.44	-8.15	44.39	119.5	0.0977	-771.86	8.5098	13	14	6	110
NaI111	111	8	11	32.67	-28.08	4.68	44.39	118.5	0.0977	-621.744	8.53315	13	15	6	111
NaI112	112	8	11	32.68	-23.19	16.48	44.35	118.5	0.0977	-796.343	8.47386	13	16	8	0
NaI113	113	8	11	32.97	-14.3	24.98	44.37	119.5	0.0977	-766.781	8.64448	13	17	8	1
NaI114	114	8	11	32.8	-1.93	28.55	44.41	118.5	0.0977	-1115.27	9.16947	13	18	8	2
NaI115	115	8	11	32.84	10.76	26.6	44.45	119.5	0.0977	-927.766	8.64324	13	19	8	3
NaI116	116	8	11	32.66	21.13	19.13	44.46	118.5	0.0977	-654.229	8.30458	13	20	8	4
NaI117	117	8	11	32.8	27.42	8.15	44.39	118.5	0.0977	-792.487	9.55639	13	21	8	5
NaI118	118	8	11	32.7	28.1	-4.68	44.38	118.5	0.0977	-788.292	8.49365	13	22	8	6
NaI119	119	8	11	32.74	23.42	-16.39	44.45	118.5	0.0977	-679.301	8.26369	13	23	8	7
NaI120	120	8	11	32.71	13.93	-24.93	44.45	118.5	0.0977	-1125.52	8.66749	13	24	8	8
NaI121	121	8	11	32.82	1.77	-28.62	44.46	118.5	0.0977	-901.201	8.749	13	25	8	9
NaI122	122	8	12	30.53	-18.74	-25.71	53.95	119.5	0.0977	-1176.59	8.89054	13	26	8	10
NaI123	123	8	12	31.2	-26.07	-19.02	53.28	118.5	0.0977	-839.618	8.22778	13	27	8	11
NaI124	124	8	12	31.42	-26.09	19.26	53.08	119.5	0.0977	-751.641	8.27058	13	28	8	12
NaI125	125	8	12	30.62	-18.91	25.73	53.95	119.5	0.0977	-622.355	8.92367	13	29	8	13
NaI126	126	8	12	30.43	18.78	25.66	54.12	119.5	0.0977	-728.914	8.35322	13	30	8	14
NaI127	127	8	12	31.24	26.08	19.03	53.22	119.5	0.0977	-1153.08	9.21381	13	31	8	15
NaI128	128	8	12	31.39	26.1	-19.09	53	119.5	0.0977	-884.704	9.48844	14	0	8	16
NaI129	129	8	12	30.45	19.08	-25.55	54.25	119.5	0.0977	-825.292	8.12445	14	1	8	17
NaI130	130	8	12	27.26	-4.9	-27.17	53.59	119.5	0.0977	-936.796	8.95171	14	2	8	18
NaI131	131	8	12	27.94	-12.21	-25.71	53.66	119.5	0.0977	-818.894	8.20647	14	3	8	19
NaI132	132	8	12	26.71	-18.63	-19.2	53.16	-999	0.0977	-719.998	8.38338	14	4	8	20
