NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,2,119.83,-17.61,-17.01,-14.04,1052.6,0.0977,-350.912,3.47575,10,0,6,0
NaI1,1,8,2,119.79,-24.24,-3.64,-14.03,1051.8,0.0977,-296.715,3.25528,10,1,6,1
NaI2,2,8,2,119.92,-21.48,11.49,-14.01,1049.6,0.0977,-232.593,3.56935,10,2,6,2
NaI3,3,8,2,119.94,-10.8,22.01,-14.12,1048.7,0.0977,-586.806,4.18658,10,3,6,3
NaI4,4,8,2,119.97,4.2,24.11,-14.11,1047.6,0.0977,-586.806,4.18658,10,4,6,4
NaI5,5,8,2,119.88,17.56,17.02,-14.05,1047,0.0977,-287.56,3.60169,10,5,6,5
NaI6,6,8,2,119.74,24.36,3.25,-14.04,1049.6,0.0977,-251.517,3.25008,10,6,6,6
NaI7,7,8,2,120.14,21.44,-11.48,-14.12,1053.1,0.0977,-314.485,3.63264,10,7,6,7
NaI8,8,8,2,119.9,10.7,-22.03,-14.08,1047.3,0.0977,-319.299,2.95945,10,8,6,8
NaI9,9,8,2,119.71,-3.99,-24.35,-14.08,1047.2,0.0977,-249.817,3.69034,10,9,6,9
NaI10,10,8,3,110.38,-11.07,-21.99,-9.15,1054.1,0.0977,-339.706,3.4562,10,10,6,10
NaI11,11,8,3,110.45,-21.82,-11.37,-9.17,1049.8,0.0977,-326.554,3.31224,10,11,6,11
NaI12,12,8,3,110.33,-24.36,3.7,-9.13,1047.6,0.0977,-267.972,3.03905,10,12,6,12
NaI13,13,8,3,110.5,-17.47,17.3,-9.19,1053.5,0.0977,-382.72,3.52245,10,13,6,13
NaI14,14,8,3,110.47,-4.08,24.26,-9.18,1048.6,0.0977,-356.286,3.03528,10,14,6,14
NaI15,15,8,3,110.34,11.09,21.91,-9.1,1047,0.0977,-258.667,2.75965,10,15,6,15
NaI16,16,8,3,110.33,21.89,11.4,-9.14,1049.2,0.0977,-278.533,3.62575,10,16,6,16
NaI17,17,8,3,110.54,24.29,-3.55,-9.2,1047.7,0.0977,-247.861,3.27336,10,17,6,17
NaI18,18,8,3,110.5,17.49,-17.25,-9.18,1048.1,0.0977,-284.325,3.62395,10,18,6,18
NaI19,19,8,3,110.3,3.98,-24.3,-9.11,1048.9,0.0977,-364.704,3.35755,10,19,6,19
NaI20,20,8,4,99.79,-16.96,-17.72,-4.23,1047.1,0.0977,-275.498,3.01173,10,20,6,20
NaI21,21,8,4,99.82,-24.09,-4.26,-4.24,1047.6,0.0977,-367.146,3.46194,10,21,6,21
NaI22,22,8,4,99.76,-22.11,10.73,-4.23,1049.6,0.0977,-430.319,3.53736,10,22,6,22
NaI23,23,8,4,99.96,-11.43,21.66,-4.3,1047.9,0.0977,-290.35,3.56039,10,23,6,23
NaI24,24,8,4,99.74,3.39,24.25,-4.2,1048.8,0.0977,-327.924,3.11896,10,24,6,24
NaI25,25,8,4,99.87,17.14,17.45,-4.25,1049.6,0.0977,-383.896,3.64909,10,25,6,25
NaI26,26,8,4,99.8,24.11,4.23,-4.23,1048.2,0.0977,-324.898,3.29729,10,26,6,26
NaI27,27,8,4,99.81,21.93,-10.85,-4.23,1052,0.0977,-285.63,3.60247,10,27,6,27
NaI28,28,8,4,99.8,11.31,-21.69,-4.22,1050.7,0.0977,-301.777,3.35825,10,28,6,28
NaI29,29,8,4,99.81,-3.38,-24.35,-4.25,1048.7,0.0977,-326.972,3.28497,10,29,6,29
NaI30,30,8,5,88.35,-10.68,-22.06,0.71,1049.1,0.0977,-374.257,3.28492,10,30,6,30
NaI31,31,8,5,88.29,-21.65,-11.63,0.73,1053,0.0977,-335.174,3.19179,10,31,6,31
NaI32,32,8,5,88.3,-24.12,3.54,0.73,1046.1,0.0977,-327.276,3.47911,11,0,6,32
NaI33,33,8,5,88.42,-17.83,16.9,0.68,1046.4,0.0977,-297.906,3.1932,11,1,6,33
NaI34,34,8,5,88.39,-4.21,24.14,0.69,1045.4,0.0977,-375.7,3.15987,11,2,6,34
NaI35,35,8,5,88.48,10.76,21.99,0.65,1046,0.0977,-358.723,3.34177,11,3,6,35
NaI36,36,8,5,88.31,21.62,11.24,0.72,1045.3,0.0977,-319.964,3.4484,11,4,6,36
NaI37,37,8,5,88.34,24.22,-3.42,0.71,1050.4,0.0977,-359.001,3.41229,11,5,6,37
NaI38,38,8,5,88.28,17.66,-16.99,0.74,1047.9,0.0977,-413.019,3.48321,11,6,6,38
NaI39,39,8,5,88.38,4.14,-24.11,0.69,1047.8,0.0977,-378.506,3.39679,11,7,6,39
NaI40,40,8,6,79.01,-15.56,-25,5.72,1047.6,0.0977,-388.679,3.31344,11,8,6,40
NaI41,41,8,6,79.25,-26.06,-14.28,5.64,1041.6,0.0977,-313.386,4.52799,11,9,6,41
NaI42,42,8,6,79.08,-29.49,0.98,5.69,1049.2,0.0977,-319.813,3.33499,11,10,6,42
NaI43,43,8,6,79.13,-24.99,15.81,5.68,1048.4,0.0977,-354.305,3.32564,11,11,6,43
NaI44,44,8,6,79.13,-13.65,26.15,5.66,1049.3,0.0977,-388.799,3.22347,11,12,6,44
NaI45,45,8,6,79.04,1.04,29.5,5.72,1048.4,0.0977,-385.116,3.29384,11,13,6,45
NaI46,46,8,6,79.01,15.61,25.08,5.74,1051.5,0.0977,-413.668,3.31665,11,14,6,46
NaI47,47,8,6,79.06,26.05,14.13,5.73,1050.5,0.0977,-300.714,3.19572,11,15,6,47
NaI48,48,8,6,79.13,29.45,-1.04,5.66,1048.7,0.0977,-511.925,3.62972,11,16,6,48
NaI49,49,8,6,79.05,24.94,-15.72,5.7,1043,0.0977,-375.548,3.37314,11,17,6,49
NaI50,50,8,6,79.07,13.61,-26.09,5.68,1046.1,0.0977,-361.083,3.51191,11,18,6,50
NaI51,51,8,6,78.98,-1.48,-29.25,5.71,1047.2,0.0977,-354.647,3.00605,11,19,6,51
NaI52,52,8,7,72.22,-15.21,-29.28,10.58,1045.6,0.0977,-374.79,3.21953,11,20,6,52
NaI53,53,8,7,72.26,-26.54,-19.63,10.56,1045.1,0.0977,-361.457,3.17817,15,27,8,75
NaI54,54,8,7,72.11,-32.27,-5.8,10.58,1043.7,0.0977,-394.451,3.29882,11,22,6,54
NaI55,55,8,7,71.94,-31.59,8.66,10.68,1047.8,0.0977,-374.47,3.29988,11,23,6,55
NaI56,56,8,7,71.89,-24.42,21.64,10.67,1045,0.0977,-324.6,3.23291,11,24,6,56
NaI57,57,8,7,71.94,-13.35,30.09,10.74,1044.4,0.0977,-392.919,3.06223,11,25,6,57
NaI58,58,8,7,71.97,0.9,32.76,10.67,1044,0.0977,-408.475,3.25476,11,26,6,58
NaI59,59,8,7,72.12,15.08,29.36,10.65,1043.8,0.0977,-410.454,3.19516,11,27,6,59
NaI60,60,8,7,72.26,26.54,19.64,10.56,1045.6,0.0977,-390.854,3.58894,11,28,6,60
NaI61,61,8,7,72.17,32.32,5.78,10.56,1045.9,0.0977,-396.543,3.26378,11,29,6,61
NaI62,62,8,7,71.97,31.43,-8.87,10.63,1043.5,0.0977,-317.045,3.15923,15,29,8,77
NaI63,63,8,7,71.8,24.42,-21.56,10.71,1049.4,0.0977,-390.582,3.37296,11,31,6,63
NaI64,64,8,7,71.88,13.11,-30.07,10.74,1042.1,0.0977,-248.326,3.27757,12,0,6,64
NaI65,65,8,7,72.06,-0.97,-32.89,10.65,1050,0.0977,-289.989,3.40393,12,1,6,65
NaI66,66,8,8,53.19,-19.21,-28.27,25.58,1044.5,0.0977,-295.65,3.27059,12,2,6,66
NaI67,67,8,8,53.2,-29.51,-17.16,25.54,1042.2,0.0977,-266.831,-10,12,3,6,67
NaI68,68,8,8,53.26,-34.13,-2.61,25.55,1043.9,0.0977,-358.754,3.08818,12,4,6,68
NaI69,69,8,8,53.16,-31.75,12.42,25.55,1042.5,0.0977,-303.18,3.30066,12,5,6,69
NaI70,70,8,8,53.21,-23.34,24.99,25.57,1042.1,0.0977,-302.17,3.31422,12,6,6,70
NaI71,71,8,8,53.24,-10.19,32.75,25.62,1042.6,0.0977,-304.462,3.23028,12,7,6,71
NaI72,72,8,8,53.28,4.94,33.88,25.54,1040.5,0.0977,-374.593,3.29178,15,26,8,74
NaI73,73,8,8,53.29,19.19,28.28,25.48,1044.5,0.0977,-269.571,3.16163,12,9,6,73
NaI74,74,8,8,53.28,29.5,17.34,25.53,1044.1,0.0977,-258.126,3.27837,12,10,6,74
NaI75,75,8,8,53.33,34.22,2.85,25.57,1044.2,0.0977,-323.198,3.404,12,11,6,75
NaI76,76,8,8,53.19,31.75,-12.43,25.52,1043.5,0.0977,-280.281,3.04388,12,12,6,76
NaI77,77,8,8,53.32,23.41,-25.04,25.53,1043.3,0.0977,-258.914,3.28478,12,13,6,77
