NAME	Id	FPL	layer	theta	x_pos	y_pos	z_pos	toff	tcal	qped	qcal	qcorr	adc_geo	adc_ch	tdc_geo	tdc_ch
NaI0	0	8	2	119.83	-17.61	-17.01	-14.04	1053.6	0.0977	-229.086	2.89089	0.000692639	10	0	6	0
NaI1	1	8	2	119.79	-24.24	-3.64	-14.03	1052.8	0.0977	-193.265	2.69816	0.000725871	10	1	6	1
NaI2	2	8	2	119.92	-21.48	11.49	-14.01	1050.6	0.0977	-208.386	3.25372	0.000689635	10	2	6	2
NaI3	3	8	2	119.94	-10.8	22.01	-14.12	1049.7	0.0977	-332.918	3.50083	0.000486757	10	3	6	3
NaI4	4	8	2	119.97	4.2	24.11	-14.11	1048.6	0.0977	0	0	0	10	4	6	4
NaI5	5	8	2	119.88	17.56	17.02	-14.05	1048	0.0977	-232.889	3.17141	0.00070205	10	5	6	5
NaI6	6	8	2	119.74	24.36	3.25	-14.04	1050.6	0.0977	-189.869	2.5173	0.00122907	10	6	6	6
NaI7	7	8	2	120.14	21.44	-11.48	-14.12	1054.1	0.0977	-147.21	2.3341	0.00188102	10	7	6	7
NaI8	8	8	2	119.9	10.7	-22.03	-14.08	1048.3	0.0977	-265.562	2.73826	0.000225317	10	8	6	8
NaI9	9	8	2	119.71	-3.99	-24.35	-14.08	1048.2	0.0977	-228.827	3.48648	0.0004138	10	9	6	9
NaI10	10	8	3	110.38	-11.07	-21.99	-9.15	1055.1	0.0977	-245.784	2.85131	0.00086413	10	10	6	10
NaI11	11	8	3	110.45	-21.82	-11.37	-9.17	1050.8	0.0977	-253.782	2.86781	0.000629283	10	11	6	11
NaI12	12	8	3	110.33	-24.36	3.7	-9.13	1048.6	0.0977	-226.371	2.78416	0.000322918	10	12	6	12
NaI13	13	8	3	110.5	-17.47	17.3	-9.19	1054.5	0.0977	-458.101	3.91967	-0.000487196	10	13	6	13
NaI14	14	8	3	110.47	-4.08	24.26	-9.18	1049.6	0.0977	-424.393	3.36855	-0.000394565	10	14	6	14
NaI15	15	8	3	110.34	11.09	21.91	-9.1	1048	0.0977	-220.044	2.54331	0.000266671	10	15	6	15
NaI16	16	8	3	110.33	21.89	11.4	-9.14	1050.2	0.0977	-269.936	3.3608	0.000693082	10	16	6	16
NaI17	17	8	3	110.54	24.29	-3.55	-9.2	1048.7	0.0977	-242.324	3.15759	0.000174791	10	17	6	17
NaI18	18	8	3	110.5	17.49	-17.25	-9.18	1049.1	0.0977	-237.52	3.27869	0.000558652	10	18	6	18
NaI19	19	8	3	110.3	3.98	-24.3	-9.11	1049.9	0.0977	-360.171	3.34869	-1.97924e-05	10	19	6	19
NaI20	20	8	4	99.79	-16.96	-17.72	-4.23	1048.1	0.0977	-242.849	2.86323	0.000174045	10	20	6	20
NaI21	21	8	4	99.82	-24.09	-4.26	-4.24	1048.6	0.0977	-267.146	2.87116	0.000804378	10	21	6	21
NaI22	22	8	4	99.76	-22.11	10.73	-4.23	1050.6	0.0977	-367.29	3.21297	0.000387046	10	22	6	22
NaI23	23	8	4	99.96	-11.43	21.66	-4.3	1048.9	0.0977	-262.589	3.35516	0.000367185	10	23	6	23
NaI24	24	8	4	99.74	3.39	24.25	-4.2	1049.8	0.0977	-288.41	2.94084	0.000220564	10	24	6	24
NaI25	25	8	4	99.87	17.14	17.45	-4.25	1050.6	0.0977	-320.083	3.27353	0.000513098	10	25	6	25
NaI26	26	8	4	99.8	24.11	4.23	-4.23	1049.2	0.0977	-274.483	3.00169	0.000396975	10	26	6	26
NaI27	27	8	4	99.81	21.93	-10.85	-4.23	1053	0.0977	-266.133	3.45884	0.000271469	10	27	6	27
