DETID,ID,FEM,ASIC,CHANNEL,X,Y,PED,QCAL,TOFFSET,TPERIOD,GAIN
0,1,0,0,0,0,0,250,1,20,20,240
0,2,0,0,1,0,0,250,1,20,20,240
0,3,0,0,2,0,0,250,1,20,20,240
0,4,0,0,3,0,0,250,1,20,20,240
0,5,0,0,4,0,0,250,1,20,20,240
0,6,0,0,5,0,0,250,1,20,20,240
0,7,0,0,6,0,0,250,1,20,20,240
0,8,0,0,7,0,0,250,1,20,20,240
0,9,0,0,8,0,0,250,1,20,20,240
0,10,0,0,9,0,0,250,1,20,20,240
0,11,0,0,10,0,0,250,1,20,20,240
0,12,0,0,11,0,0,250,1,20,20,240
0,13,0,0,12,0,0,250,1,20,20,240
0,14,0,0,13,0,0,250,1,20,20,240
0,15,0,0,14,0,0,250,1,20,20,240
0,16,0,0,15,0,0,250,1,20,20,240
0,17,0,0,16,0,0,250,1,20,20,240
0,18,0,0,17,-32.7037,-32.7037,250,1,20,20,240
0,19,0,0,18,-31.246,-34.0991,250,1,20,20,240
0,20,0,0,19,-28.1552,-36.6926,250,1,20,20,240
0,21,0,0,20,-29.7289,-35.4296,250,1,20,20,240
0,22,0,0,21,-24.8501,-39.0069,250,1,20,20,240
0,23,0,0,22,-26.5279,-37.8858,250,1,20,20,240
0,24,0,0,23,-21.3559,-41.0243,250,1,20,20,240
0,25,0,0,24,0,0,250,1,20,20,240
0,26,0,0,25,-23.125,-40.0537,250,1,20,20,240
0,27,0,0,26,-17.6991,-42.7294,250,1,20,20,240
0,28,0,0,27,-19.5461,-41.9167,250,1,20,20,240
0,29,0,0,28,-13.9076,-44.1094,250,1,20,20,240
0,30,0,0,29,-15.8184,-43.4608,250,1,20,20,240
0,31,0,0,30,-10.0103,-45.1537,250,1,20,20,240
0,32,0,0,31,-11.9704,-44.6741,250,1,20,20,240
0,33,0,0,32,-6.03684,-45.8543,250,1,20,20,240
0,34,0,0,33,-8.03123,-45.5474,250,1,20,20,240
0,35,0,0,34,-2.0174,-46.206,250,1,20,20,240
0,36,0,0,35,-4.03095,-46.074,250,1,20,20,240
0,37,0,0,36,2.0174,-46.206,250,1,20,20,240
0,38,0,0,37,-8.49599e-15,-46.25,250,1,20,20,240
0,39,0,0,38,6.03684,-45.8543,250,1,20,20,240
0,40,0,0,39,4.03095,-46.074,250,1,20,20,240
0,41,0,0,40,10.0103,-45.1537,250,1,20,20,240
0,42,0,0,41,8.03123,-45.5474,250,1,20,20,240
0,43,0,0,42,13.9076,-44.1094,250,1,20,20,240
0,44,0,0,43,11.9704,-44.6741,250,1,20,20,240
0,45,0,0,44,17.6991,-42.7294,250,1,20,20,240
0,46,0,0,45,15.8184,-43.4608,250,1,20,20,240
0,47,0,0,46,21.3559,-41.0243,250,1,20,20,240
