NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,149.33,-14.48,-5.65,-26.22,-367.9,0.0977,-1244.18,11.525,10,0,6,0
NaI1,1,8,1,149.57,-11.99,9.72,-26.27,-368.7,0.0977,-884.021,9.90868,10,1,6,1
NaI2,2,8,1,149.51,2.44,15.25,-26.23,-370.9,0.0977,-696.954,10.0782,10,2,6,2
NaI3,3,8,1,149.36,14.46,5.74,-26.26,-371.8,0.0977,-1016.61,10.5068,10,3,6,3
NaI4,4,8,1,149.8,11.6,-9.97,-26.28,-372.9,0.0977,-1498.66,16.4434,10,4,6,4
NaI5,5,8,1,149.32,-2.57,-15.35,-26.23,-373.5,0.0977,-819.398,10.4214,10,5,6,5
NaI6,6,8,2,143.35,-10.38,-11.97,-21.29,-370.9,0.0977,-960.693,9.32607,10,6,6,6
NaI7,7,8,2,143.44,-15.53,2.56,-21.21,-367.4,0.0977,-881.683,9.00042,10,7,6,7
NaI8,8,8,2,144,-5.1,14.59,-21.28,-373.2,0.0977,-929.773,9.23481,10,8,6,8
NaI9,9,8,2,143.74,10.23,11.78,-21.27,-373.3,0.0977,-692.188,10.097,10,9,6,9
NaI10,10,8,2,143.39,15.71,-2.1,-21.33,-366.4,0.0977,-838.35,8.14888,10,10,6,10
NaI11,11,8,2,144.09,5.23,-14.54,-21.34,-370.7,0.0977,-1171.34,9.72829,10,11,6,11
NaI12,12,8,3,129.56,-15.82,-11.74,-16.27,-372.9,0.0977,-739.339,8.53581,10,12,6,12
NaI13,13,8,3,129.68,-19.32,3.06,-16.22,-367,0.0977,-862.279,8.53426,10,13,6,13
NaI14,14,8,3,129.46,-11.61,15.9,-16.21,-371.9,0.0977,-1076.35,9.46085,10,14,6,14
NaI15,15,8,3,129.22,2.57,19.77,-16.27,-373.5,0.0977,-850.591,9.48908,10,15,6,15
NaI16,16,8,3,129.58,15.73,11.82,-16.27,-371.3,0.0977,-747.485,8.69054,10,16,6,16
NaI17,17,8,3,129.65,19.36,-3.1,-16.25,-372.8,0.0977,-678.032,8.89487,10,17,6,17
NaI18,18,8,3,129.33,11.74,-15.92,-16.21,-372.4,0.0977,-686.57,8.88322,10,18,6,18
