MINOSthresh TimeBinElec Tshaping
25.0 20.0 333.0
HeaderFile DelayTrig StopT VDrift
psp140038 1320.0 7924.0 0.04543
psp140040 1320.0 7914.0 0.04550
psp140041 1320.0 7990.0 0.04498
psp140042 1320.0 7975.0 0.04508
psp140043 1320.0 7972.0 0.04510
psp140044 1320.0 7975.0 0.04508
psp140045 1320.0 7970.0 0.04511
psp140046 1320.0 7966.0 0.04514
psp140047 1320.0 7980.0 0.04505
psp140048 1320.0 7847.0 0.04596
psp140049 1320.0 7630.0 0.04754
psp140050 1320.0 7706.0 0.04698
psp140051 1320.0 7902.0 0.04558
psp140052 1320.0 7968.0 0.04513
psp140053 1320.0 7999.0 0.04492
psp140054 1320.0 8004.0 0.04488
psp140055 1320.0 8008.0 0.04486
psp140056 1320.0 8007.0 0.04486
psp140057 1320.0 8000.0 0.04491
psp140058 1320.0 8006.0 0.04487
psp140059 1320.0 8006.0 0.04487
psp140060 1320.0 8000.0 0.04491
psp140061 1320.0 7988.0 0.04499
psp140062 1320.0 7979.0 0.04505
psp140063 1320.0 7969.0 0.04512
psp140064 1320.0 7974.0 0.04509
psp140065 1320.0 7971.0 0.04511
psp140066 1320.0 7963.0 0.04516
psp140067 1320.0 7956.0 0.04521
psp140068 1320.0 7942.0 0.04530
psp140069 1320.0 7938.0 0.04533
psp140224 1363.949580 8025.000000 0.045038
psp140225 1363.949580 7985.000000 0.045310
psp140226 1363.949580 8015.000000 0.045106
psp140228 1363.949580 8015.000000 0.045106
psp140229 1363.949580 7995.000000 0.045242
psp140230 1363.949580 7995.000000 0.045242
psp140231 1363.949580 8025.000000 0.045038
psp140234 1363.949580 8200.000000 0.043885
psp140235 1363.949580 7995.000000 0.045242
psp140236 1363.949580 7975.000000 0.045379
psp140237 1363.949580 7955.000000 0.045516
psp140238 1363.949580 7975.000000 0.045379
psp140239 1363.949580 7965.000000 0.045447
psp140240 1363.949580 8005.000000 0.045174
psp140241 1363.949580 7965.000000 0.045447
psp140242 1363.949580 7985.000000 0.045310
psp140243 1363.949580 8005.000000 0.045174
psp140244 1363.949580 7975.000000 0.045379
psp140245 1363.949580 7965.000000 0.045447
psp140246 1363.949580 8025.000000 0.045038
psp140247 1363.949580 7975.000000 0.045379
psp140248 1363.949580 7995.000000 0.045242
psp140249 1363.949580 7985.000000 0.045310
psp140250 1363.949580 7985.000000 0.045310
psp140251 1363.949580 7995.000000 0.045242
psp140252 1363.949580 8015.000000 0.045106
psp140253 1363.949580 7975.000000 0.045379
psp140254 1363.949580 7965.000000 0.045447
psp140255 1363.949580 8005.000000 0.045174
psp140256 1363.949580 8015.000000 0.045106
psp140257 1363.949580 7985.000000 0.045310
psp140258 1363.949580 8005.000000 0.045174
psp140259 1363.949580 7955.000000 0.045516
psp140262 1363.949580 7965.000000 0.045447
psp140263 1363.949580 7985.000000 0.045310
psp140264 1363.949580 7965.000000 0.045447
psp140265 1363.949580 7995.000000 0.045242
psp140266 1363.949580 7975.000000 0.045379
psp140267 1363.949580 8005.000000 0.045174
psp140268 1363.949580 8005.000000 0.045174
psp140269 1363.949580 7985.000000 0.045310
psp140270 1363.949580 7985.000000 0.045310
psp140271 1363.949580 8015.000000 0.045106
psp140272 1363.949580 7935.000000 0.045655
psp140273 1363.949580 8005.000000 0.045174
psp140274 1363.949580 7955.000000 0.045516
psp140275 1363.949580 7995.000000 0.045242
psp140276 1363.949580 7975.000000 0.045379
psp140277 1363.949580 7945.000000 0.045585
psp140278 1363.949580 7965.000000 0.045447
psp140279 1363.949580 7995.000000 0.045242
psp140281 1363.949580 7965.000000 0.045447
psp140282 1363.949580 7935.000000 0.045655
psp140283 1363.949580 7955.000000 0.045516
psp140284 1363.949580 7915.000000 0.045794
psp140285 1363.949580 7965.000000 0.045447
psp140290 1363.949580 8200.000000 0.043885
psp140291 1363.949580 8200.000000 0.043885
psp140293 1363.949580 7905.000000 0.045864
psp140294 1363.949580 8200.000000 0.043885
psp140295 1363.949580 7935.000000 0.045655
psp140296 1363.949580 7865.000000 0.046146
psp140297 1363.949580 7865.000000 0.046146
psp140298 1363.949580 7875.000000 0.046076
psp140299 1363.949580 7865.000000 0.046146
psp140300 1363.949580 7895.000000 0.045934
psp140301 1363.949580 7905.000000 0.045864
psp140302 1363.949580 7905.000000 0.045864
psp140303 1363.949580 7955.000000 0.045516
