DETID,ID,FEM,ASIC,CHANNEL,X,Y,PED,QCAL,TOFFSET,TPERIOD,GAIN
0,1,0,0,0,0,0,250,1,20,20,240
0,2,0,0,1,0,0,250,1,20,20,240
0,3,0,0,2,0,0,250,1,20,20,240
0,4,0,0,3,0,0,250,1,20,20,240
0,5,0,0,4,0,0,250,1,20,20,240
0,6,0,0,5,0,0,250,1,20,20,240
0,7,0,0,6,-32.2999,-33.1026,250,1,20,20,240
0,8,0,0,7,-31.4778,-33.8853,250,1,20,20,240
0,9,0,0,8,-30.6367,-34.6476,250,1,20,20,240
0,10,0,0,9,-29.7772,-35.389,250,1,20,20,240
0,11,0,0,10,-28.8998,-36.1091,250,1,20,20,240
0,12,0,0,11,-28.0049,-36.8075,250,1,20,20,240
0,13,0,0,12,-27.0932,-37.4836,250,1,20,20,240
0,14,0,0,13,-26.1651,-38.1373,250,1,20,20,240
0,15,0,0,14,-25.2213,-38.7679,250,1,20,20,240
0,16,0,0,15,0,0,250,1,20,20,240
0,17,0,0,16,-24.2623,-39.3752,250,1,20,20,240
0,18,0,0,17,-23.2887,-39.9587,250,1,20,20,240
0,19,0,0,18,-22.301,-40.5182,250,1,20,20,240
0,20,0,0,19,-21.2999,-41.0533,250,1,20,20,240
0,21,0,0,20,-20.286,-41.5637,250,1,20,20,240
0,22,0,0,21,-19.2599,-42.049,250,1,20,20,240
0,23,0,0,22,-18.2221,-42.509,250,1,20,20,240
0,24,0,0,23,0,0,250,1,20,20,240
0,25,0,0,24,-16.1144,-43.3519,250,1,20,20,240
0,26,0,0,25,-17.1734,-42.9434,250,1,20,20,240
0,27,0,0,26,-13.9678,-44.0904,250,1,20,20,240
0,28,0,0,27,-15.0456,-43.7343,250,1,20,20,240
0,29,0,0,28,0,0,250,1,20,20,240
0,30,0,0,29,-11.7875,-44.7227,250,1,20,20,240
0,31,0,0,30,-12.8815,-44.4199,250,1,20,20,240
0,32,0,0,31,-9.5789,-45.2472,250,1,20,20,240
0,33,0,0,32,-10.6864,-44.9985,250,1,20,20,240
0,34,0,0,33,-7.34719,-45.6627,250,1,20,20,240
0,35,0,0,34,-8.46559,-45.4686,250,1,20,20,240
0,36,0,0,35,-5.09778,-45.9682,250,1,20,20,240
0,37,0,0,36,-6.22436,-45.8292,250,1,20,20,240
0,38,0,0,37,-2.83608,-46.163,250,1,20,20,240
0,39,0,0,38,-3.96813,-46.0795,250,1,20,20,240
0,40,0,0,39,-0.567559,-46.2465,250,1,20,20,240
0,41,0,0,40,-1.70233,-46.2187,250,1,20,20,240
0,42,0,0,41,1.70233,-46.2187,250,1,20,20,240
0,43,0,0,42,0.567559,-46.2465,250,1,20,20,240
0,44,0,0,43,3.96813,-46.0795,250,1,20,20,240
0,45,0,0,44,2.83608,-46.163,250,1,20,20,240
